id,author_id,text,conversation_id,in_reply_to_user_id,sender_location,receiver_location
1641660985898303488,60667515,"@DjeeDeeBee Sta nu in de startblokken om te sporten, dikke twijfel echter want om 7.00 is de F1 training in Melbourne, zo gauw ik de deur uit ben is die twijfel wel weg.",1641657364943106049,548238536,"[6.0006414, 50.8413997, 6.0881431, 50.9055089]","[4.4799616, 51.1296166, 4.5651796, 51.1905121]"
1641660319020744704,60667515,"@DjeeDeeBee Bij mij is ook niet veel blijven hangen, sta altijd te kijken als mensen heel gedetailleerd verhalen uit het verleden staan te vertellen, ik kan dan alleen mijn schouders ophalen.",1641657364943106049,548238536,"[6.0006414, 50.8413997, 6.0881431, 50.9055089]","[4.4799616, 51.1296166, 4.5651796, 51.1905121]"
1641655909062516736,1078344356027949063,@Msteffenswater @GBMNieuwVennep @DRNieuwVennep @OVHZ_Hmeer @maatvast @Cpuntmaaktmee @HlmrRaad @haarlemmermeer Ik zag het te laat om jullie vooraf succes te wensen.,1640641828138414082,35741945,"[4.5505577, 52.2144875, 4.8191001, 52.3863713]","[4.5505577, 52.2144875, 4.8191001, 52.3863713]"
1641608024266788864,1256339305380941831,"@PanameraPOV Nee, klopt helemaal. Ik heb echt geen oog dichtgedaan",1641518521506230274,111252417,"[104.836444, 20.305138, 105.857367, 21.112576]","[4.1155933, 51.9413602, 4.3098679, 52.0677645]"
1641557382252621829,133265773,"@margotlantinga Och nee, Margot...wat een tegenvaller!  Lees je updates nu pas en schrik hier wel van. Natuurlijk ben je in goede handen daar, maar het was toch zo de bedoeling dat de operatie verlichting zou brengen...ik duim voor je dat je na deze hobbels echt opknapt 😘🤞🙏",1641438030933422080,111625233,"[5.2472216, 51.9707539, 5.5293757, 52.0864526]","[4.9702867, 52.0262429, 5.1952468, 52.142137]"
1641554144417726464,1472637925577969664,@Celinevdc @dbousou Het was dan ook over mijn benen dat ik het had. 🥺,1641550883602288640,17998533,"[2.8402551, 51.1845888, 3.0037446, 51.2435277]","[3.4135449, 50.9473055, 3.6108612, 51.0303187]"
1641552127683067904,1472637925577969664,@Celinevdc @dbousou Ik wil hem niet in schaamte brengen. 😅😉,1641550883602288640,17998533,"[2.8402551, 51.1845888, 3.0037446, 51.2435277]","[3.4135449, 50.9473055, 3.6108612, 51.0303187]"
1641545817193365507,102107308,@RaymondTans Ja ik las dat ze dag dat de brief werd verstuurd in Brussel was. Dus het is de uitkomst van overleg met de commissaris. Maar zo’n brief uitlokken in dit politieke klimaat in NL lijkt mij vrij stom.,1641521426481008641,321385973,"[-0.5508578, 39.300781, -0.4216193, 39.3995398]","[-8.8532108, 37.0713782, -8.6195246, 37.2350295]"
1641543114794975237,1068075919959576577,"@vanSonenBreugel @VVD @MinPres @lientje1967 @lientje1967 , gaat het ook niet worden , die raakt straks in de problemen denk ik, nog een hoop om ver na te denken😅",1641512729327353856,2568609622,"[5.0559841, 52.3023152, 5.3792667, 52.5920368]","[5.357081, 51.3999536, 5.5489132, 51.4969563]"
1641541891131863042,1214231211482075138,@ramon_tax @__Joepel Ik geloof na uitleg Kees M oprecht in de weg er naar toe,1641346025561497601,2974399270,"[4.5302118, 51.4220578, 4.7449279, 51.5498045]","[4.658036, 51.4767179, 4.8716632, 51.6431374]"
1641541317581762560,131115987,"@ewd Dat bedoel ik, ik ben zelf de haver cappuccino yup.",1641516972318896129,10714802,"[5.3531134, 51.730886, 5.7111697, 51.8307739]","[4.729003, 52.6483991, 4.8337614, 52.7306061]"
1641539716578263041,1531226105012682752,"@spoorkeerl @martijnaslander Dus de belasting naheffen bij supermarkten wanneer bekend is wat de bruto winst op groente en fruit is?  Als ze het dan willen doorberekenen aan de consument kan dat pas het jaar daarop en mogen zij nog meer belasting afdragen. Mischien zie ik iets over het hoofd, of 't is simpel",1641095467332141057,42921898,"[4.6748243, 52.4165236, 4.862646, 52.520406]","[6.7559955, 52.1611799, 6.981174, 52.2855112]"
1641539686157139968,10714802,@PeterterHorst Toen ik het las moest ik wel meteen aan jou drinken ehhh denken. #havermoutmelk,1641516972318896129,131115987,"[4.729003, 52.6483991, 4.8337614, 52.7306061]","[5.3531134, 51.730886, 5.7111697, 51.8307739]"
1641538859220729856,495914854,@Heerlijkheyd @KatsmanJan Ik meende 22 gr.\nJa jammer… \nHier is het nog geen Voorjaar… de komende week ook niet!,1640977827125252099,1090314854,"[6.7559955, 52.1611799, 6.981174, 52.2855112]","[2.6524606, 46.0508445, 2.7332965, 46.1049888]"
1641535667812311053,143788349,@MisterSenseo Zeker weten!! Ik wist het namelijk niet. Reanimatie gaat gewoon over kleding. Het aanbrengen van plakkers voor de aed is wel op blote huid.,1641526240451371031,365677125,"[4.6750992, 51.9056092, 4.8323339, 51.9841161]","[4.1903465, 52.0148713, 4.4224441, 52.1388646]"
1641531848386813963,1214231211482075138,"@ramon_tax @__Joepel Als je elke week op de tribune zit wil het niet zeggen dat je niet kritisch de club mag volgen..en keuzes mag betwisten..en Joep is anders in zijn voorkeur voor eigenaren , en dat mag! Tegengeluid is de voeding voor een betere club! En nee, ik ben het niet met m eens",1641346025561497601,2974399270,"[4.5302118, 51.4220578, 4.7449279, 51.5498045]","[4.658036, 51.4767179, 4.8716632, 51.6431374]"
1641529969611251720,1453109564933607436,@Bart_Cologne @YungFierens @bickylover @Pdeburghgraeve Ik heb korting gekregen omdat ik er 2 genomen heb 😂🙈. En ze voelen just gelik zeemvellekes 🥰,1641475108983144448,163919105,"[3.1341126, 51.158168, 3.310214, 51.3632982]","[4.8512857, 50.7519341, 5.0194834, 50.8642506]"
1641529198450728960,1453109564933607436,@Bart_Cologne @djaycee68 @YungFierens Moet ik da nu inplannen? 🤔,1641485721432207402,163919105,"[3.1341126, 51.158168, 3.310214, 51.3632982]","[4.8512857, 50.7519341, 5.0194834, 50.8642506]"
1641523800826060816,807565415203434496,@alexandradarch @VeNeelie @NMBS Er waren mensen over de sporen aan het lopen nabij Hove. Kan de NMBS zelf niet veel aan doen den k ik,1641495809521770511,151983323,"[4.2180843, 51.1434643, 4.4982962, 51.3776487]","[4.2180843, 51.1434643, 4.4982962, 51.3776487]"
1641510281955139610,1453109564933607436,@Bart_Cologne @DeGewoneMens @herboschjoris @Bellecoone Ik zal voortaan je ogen zijn 🥰 #MeligeTweet,1641485721432207402,163919105,"[3.1341126, 51.158168, 3.310214, 51.3632982]","[4.8512857, 50.7519341, 5.0194834, 50.8642506]"
1641508204147269639,1285614436489854981,@CindyAlbers4 En ik die dacht dat de Nederlandse partij BBB stond voor Buik -Borsten-Billen 😳😳🤭,1641495968355962880,1127848659914231808,"[2.986774, 51.2196571, 3.1152415, 51.3124699]","[5.512446, 51.9967377, 5.590794, 52.0495009]"
1641505801314394112,234008279,"@Martinus63 @JCrelis @DeMeeuwBV Yep. Op deze lokatie kom ik al een paar weken bijna 2x per dag. Vanmorgen waaide het te hard, en morgen blijkbaar ook, dus de bouw ligt ff stil.",1641372019232047104,152297912,"[5.2375566, 51.3183027, 5.388618, 51.468549]","[3.9418364, 51.8421131, 4.6013785, 52.0068016]"
1641505698646220813,72073258,"@NS_VenS_chris Da's juist het mooie hiervan - we leren meer van elkaar en wat iedereen doet. Ik werk in de staf van de crisis- en calamiteitenorganisatie, mooi werk!",1641468778293649410,1531226105012682752,"[3.9418364, 51.8421131, 4.6013785, 52.0068016]","[4.6748243, 52.4165236, 4.862646, 52.520406]"
1641504554675056643,1531226105012682752,@JaapJoch Wat doe je eigenlijk normaal op kantoor? Ik ben verder niet heel nieuwsgierig hoor😉😇,1641468778293649410,72073258,"[4.6748243, 52.4165236, 4.862646, 52.520406]","[5.2472216, 51.9707539, 5.5293757, 52.0864526]"
1641504112595329033,72073258,"@ikkuh1981 Ik zag het, op andere dagen inderdaad nog vroeger beginnen. Komt er vast ook nog wel eens van, maar de diensten op Ut gingen hard.",1641468778293649410,112695373,"[3.9418364, 51.8421131, 4.6013785, 52.0068016]","[4.4152156, 52.0316125, 4.5576256, 52.0932768]"
1641503713553440774,51670220,@MommieWatson Nergens op aangesloten ? Waarom zit dat ding daar dan ? zou ik hem weghalen makkelijker om gat met gips dicht te maken,1641491264087400448,365336412,"[4.1155933, 51.9413602, 4.3098679, 52.0677645]","[4.828954, 51.5098962, 4.9797813, 51.6162215]"
1641499081884221440,258451877,"@HolstegeGerrit @WiljanB @nltop40 @MileyCyrus Daar ben ik dan weer niet zo weg van 😉 gelukkig zijn we niet allemaal hetzelfde, zou saai worden",1641421265041801216,3047180412,"[5.357081, 51.3999536, 5.5489132, 51.4969563]","[6.0033058, 52.4404911, 6.2105671, 52.5879383]"
1641498727964606464,3047180412,"@Jeepee76 @WiljanB @nltop40 @MileyCyrus Hey joh, dat is toch prima!! Lekker doen wat jij wilt en luisteren naar wat jij mooi vindt.  Ik heb zelf een playlist van haar peettante",1641421265041801216,258451877,"[6.0033058, 52.4404911, 6.2105671, 52.5879383]","[5.357081, 51.3999536, 5.5489132, 51.4969563]"
1641495516088262673,258451877,@HolstegeGerrit @WiljanB @nltop40 @MileyCyrus Durf het bijna niet te zeggen maar ik heb zelfs een Miley playlist op Spotify 🤣 ik vind haar stem en stijl erg lekker,1641421265041801216,3047180412,"[5.357081, 51.3999536, 5.5489132, 51.4969563]","[6.0033058, 52.4404911, 6.2105671, 52.5879383]"
1641494456749764619,214515579,@MommieWatson Ik zou zeggen koop voor een euro of 5 een nieuwe gipsplaat en daarna even afkwasten met een beetje latex. Is een klein beetje werk voor het mooiste resultaat. (gipsplaatje verwijderen klinkt erger dan het is),1641491264087400448,365336412,"[4.1903465, 52.0148713, 4.4224441, 52.1388646]","[4.828954, 51.5098962, 4.9797813, 51.6162215]"
1641489141991985153,92546328,@TjerkLangman @brabantsdagblad Pardon ik was je geaardheid vergeten. Maakt je ook Niet betrr/slechter,1641432608268746752,52545234,"[5.357081, 51.3999536, 5.5489132, 51.4969563]","[4.1896983, 51.2209132, 6.0478033, 51.8307739]"
1641488984051265538,92546328,@TjerkLangman @brabantsdagblad Nogal racistisch denk ik. Wat maakt jou beter/slechter op basis van je geslacht of huidskleur?,1641432608268746752,52545234,"[5.357081, 51.3999536, 5.5489132, 51.4969563]","[4.1896983, 51.2209132, 6.0478033, 51.8307739]"
1641488201406726144,1531226105012682752,"@JaapJoch Dat vind ik niet eerlijk, als je de lasten draagt hebt je ook recht op de lusten🤣",1641468778293649410,72073258,"[4.6748243, 52.4165236, 4.862646, 52.520406]","[5.2472216, 51.9707539, 5.5293757, 52.0864526]"
1641486370353840128,3002189563,@JaapFriso @MerelMilou @SaschaJanssen @heuswaar @ashatenbroeke @NLRebellion Hahah nee ik was dus bezig en mijn steam loopt een paar min achter en toen kwamen er ineens allemaal beveiligingsmensen aanrennen. Dus ik ging beneden kijken maar het was al afgelopen,1641442842055938049,36718349,"[4.1903465, 52.0148713, 4.4224441, 52.1388646]","[5.1927806, 52.0585255, 5.3326608, 52.1711453]"
1641485621637132296,72073258,"@NS_VenS_chris Haha - ik krijg er niets voor, anders dan de uren (op eigen verzoek)",1641468778293649410,1531226105012682752,"[5.2472216, 51.9707539, 5.5293757, 52.0864526]","[4.6748243, 52.4165236, 4.862646, 52.520406]"
1641483415575748608,205883464,@SynchroMo Daar ben ik best wel blij mee! Heb al meerdere goede berichten nu. Moet dan wel goedkomen toch?,1641359081809014785,127853245,"[5.4768871, 52.2023675, 5.6836046, 52.2932881]","[5.2260001, 51.2615558, 5.4340641, 51.383918]"
1641477895334899719,92925100,@GianniNL @noord020 @AmsterdamNL @Weesp Ken Weesp een beetje. Goede vriend woont in het steegje naast het voormalig (?) gemeentehuis. Hij een geboren Amsterdam Zuid (Joh. Verhulst) Steegje schijnt tegenwoordig een voetpad te zijn. Maar ik heb me daar nog eens zalig klem gereden met een Mercedes Sprinter L3. 😜,1641471831365304321,182326370,"[3.9242823, 51.2410539, 4.2360595, 51.4220031]","[4.7288999, 52.2782266, 5.0792072, 52.4312289]"
1641477401040367625,21298074,@w8eens Ik heb ‘t online gekocht. Gewoon even googlen.,1641455728958357506,75090873,"[-4.7764112, 36.4863005, -4.5921218, 36.6255465]","[4.676277, 51.7126927, 5.0004003, 51.8285409]"
1641476053917941762,278392682,@klaasm67 Ik dacht toch echt aan een 1 april grap.,1641460483570954240,342689198,"[5.0857107, 52.3846363, 5.6059368, 52.6916409]","[9.8285635, 49.822787, 9.87109, 49.852266]"
1641473412525613058,1392989583785271297,@franssnel1 @RickdVries Mast dat vraag ik niet,1641048374060220416,452089910,"[4.7288999, 52.2782266, 5.0792072, 52.4312289]","[4.7084296, 52.5920255, 4.8006894, 52.682589]"
1641472243493400578,92925100,"@GianniNL @noord020 @AmsterdamNL @Weesp Gefeliciteerd! Noord is interessant, maar ik denk dat Weesp in haar transitie dat zéker is.",1641471831365304321,182326370,"[3.9242823, 51.2410539, 4.2360595, 51.4220031]","[4.7288999, 52.2782266, 5.0792072, 52.4312289]"
1641461534567047169,1148335923140149249,@djeekopdicht Oh?\nIk vind dat koffie alleen maar verprutst wordt door toevoegingen als melk en suiker.  Weg koffiesmaak. 🤷🏻‍♂️,1641375898254340097,230191922,"[5.7284797, 51.7519849, 5.8937289, 51.8102108]","[13.088304, 52.338079, 13.760909, 52.675323]"
1641455656677830656,346459682,@djeekopdicht Ik werk veel met de chocomel generatie. Die is onder jongeren niet aan te slepen.,1641375898254340097,230191922,"[5.7576521, 51.7905544, 5.9082602, 51.8947409]","[13.088304, 52.338079, 13.760909, 52.675323]"
1641453124631281669,346459682,@AtelierGeeraets Je snapt dat ik komende zomer wel trots ga rond paraderen in een korte broek. Uitgestelde knaldrang.,1641350780157304833,123950495,"[5.7576521, 51.7905544, 5.9082602, 51.8947409]","[5.7576521, 51.7905544, 5.9082602, 51.8947409]"
1641452469531336705,123950495,"@JustSlacking Ja, maar ik laat dus niets op mijn knieën zetten :-)",1641350780157304833,346459682,"[5.6679994, 51.8321917, 5.8257091, 51.8956171]","[5.7576521, 51.7905544, 5.9082602, 51.8947409]"
1641451729245061123,123950495,"@MrsSandvrouw @richardtkiewiet @SGPnieuws Yep sorry, ik trek dergelijke opmerkingen  slecht. Praat ik onzin? Prima, zeg dat dan. Sterker je mag het grondig met me oneens zijn, maar ga dan een discussie aan. Maar ‘blijf jij bij je kunst’ is een non-argument. Dan zou niemand ergens ooit een mening over mogen hebben.",1640983118088753154,707643871379988480,"[5.6679994, 51.8321917, 5.8257091, 51.8956171]","[6.8263158, 52.6327357, 7.0926136, 52.8729716]"
1641451343159377922,115762429,@Dutchy_in_Spain Ik heb ergens in een la ook nog van die plakkers. Als het een beetje warm weer is ga je eronder transpireren en heb je binnen de korste keren extra lovehandles.,1641425598294704133,21298074,"[14.7125718, 41.9066991, 14.867373, 42.0701391]","[-4.7764112, 36.4863005, -4.5921218, 36.6255465]"
1641449467340787719,346459682,@AtelierGeeraets Als je met twee dikke knieën op de bank zit wil je helemaal niets. Geloof me. Maar met die op m'n borst was ik het liefst zo trots als een pauw de hele stad door gaan stappen.,1641350780157304833,123950495,"[5.7576521, 51.7905544, 5.9082602, 51.8947409]","[5.7576521, 51.7905544, 5.9082602, 51.8947409]"
1641449213946114052,92925100,"@GianniNL Ja, zo kun je er ook tegenaan kijken. Maar ik denk dat sinds Kok ruim een kwart eeuw zijn ideologische veren heeft afgeschud, we met elkaar op een redelijk grote puinhoop staan. 25 Jaar lang hebben we de overheid 'teruggedrongen' en 'de markt' moest dat overnemen. 1/",1641371370985607168,182326370,"[3.9242823, 51.2410539, 4.2360595, 51.4220031]","[4.7288999, 52.2782266, 5.0792072, 52.4312289]"
1641420747393433600,205883464,@MrsSandvrouw Hij is super lief en hoopt heel erg dat het mij helpt. Die wind zoals nu maakt dat ik vanavond weer beneden slaap.,1641359081809014785,707643871379988480,"[5.4768871, 52.2023675, 5.6836046, 52.2932881]","[6.8263158, 52.6327357, 7.0926136, 52.8729716]"
1641381027938545671,115762429,@guyhalle Ai…. Ik stuur zon! ☀️,1641308894356987904,224301369,"[14.7125718, 41.9066991, 14.867373, 42.0701391]","[4.2180843, 51.1434643, 4.4982962, 51.3776487]"
1641380829665296386,1464334868905660420,@KoenStaps Ik ben zo benieuwd. Het was al mijn favoriete attractie en met nog meer verbetering is het al helemaal top. Ik ga volgende week een kijkje nemen. Dankjewel.,1641352510261657600,3296628987,"[4.7919685, 52.0649667, 5.0049062, 52.1620882]","[4.9873619, 51.6058229, 5.1061014, 51.6767143]"
1641378204811161601,156380938,@Kennismakelaars @laschoonmade Ja klopt. Ik zet ook alleen maar foto’s met mensen op Twitter als dit bij een openbare aangelegenheid is.\nEn dan ook nog maar zeer zelden.\n\nIk maak ook niet het verslag van deze meetup. 😉\nGeef alleen aan dat het zeer interessant was en dat er behoorlijk wat mensen waren.,1641361963916591105,15071770,"[4.5372224, 51.9060528, 4.6194205, 51.9654768]","[4.5372224, 51.9060528, 4.6194205, 51.9654768]"
1641375689898164226,15071770,@JoostSt @laschoonmade Fotos zijn tegenwoordig meestal zonder mensen ivm privacy. En ik begrijp dat je met een foto tevreden bent bij een verslag van een meetup door de gemeente?,1641361963916591105,156380938,"[4.5372224, 51.9060528, 4.6194205, 51.9654768]","[4.5372224, 51.9060528, 4.6194205, 51.9654768]"
1641375006100799489,3047180412,@JeroenW1602 @WiljanB Ik voel een ernstige vorm van polarisatie aankomen.\nWil je gelijk krijgen of een relatie verbreken?😂,1640986729401274369,189213605,"[6.0033058, 52.4404911, 6.2105671, 52.5879383]","[4.6452324, 51.6288478, 4.8532141, 51.7666022]"
1641374063007350785,1090526458399870976,"@ArdennenBob Jawel, echter wel veel kritische personen. Zij confronteren me direct bij wakker worden al met het - naar het lijkt - parallelle universum. Naarmate de dag vordert, kan ik daar altijd wel van ‘genieten’😉",1641346020649885696,266050989,"[4.658036, 51.4767179, 4.8716632, 51.6431374]","[5.5740482, 50.2199879, 5.7486952, 50.3721362]"
1641373508738457600,923545048846827521,"@PierreHellebaut Ik heb het omgekeerde voor en dat is echt niet leuk. Mensen die ik plots 'ontvolgd' heb, maar dit zelf niet actief heb gedaan..",1641372840132763648,356960046,"[4.7658612, 51.2730411, 4.8960025, 51.3445663]","[3.7560888, 50.9930881, 3.8445689, 51.0825997]"
1641365126941900802,1484945331762647050,@IndianaMarcel @Mandy2571960678 Zo is dat vindt ik goeie move,1641225329854300162,1369711603,"[6.5495496, 53.249375, 6.6543253, 53.3473569]","[4.6305091, 52.8786983, 4.9215041, 53.0179019]"
1641363801722290177,1484945331762647050,"@IndianaMarcel @Mandy2571960678 😁 bijzondere kerel ben je Marcel, dat mag ik wel",1641225329854300162,1369711603,"[6.5495496, 53.249375, 6.6543253, 53.3473569]","[4.6305091, 52.8786983, 4.9215041, 53.0179019]"
1641362305425211392,241223638,"@MvanDusseldorp @NatalieNTK Ik begrijp zo goed dat dat voor de ouders lekker rustig is. Maar wij namen dus nog een tasje met stiften, kleurboekjes enz. mee. Ook nu ze 12 zijn: in resto geen telefoonturen. En lol dat ze met andere 8-11 jarigen hebben met kaarten (Pesten) of Dobble! \n\nDit vonden ze ook leuk: https://t.co/mWGwBKiymm",1640969847025565697,209064087,"[3.9248472, 51.4791174, 4.2490638, 51.660797]","[4.5505577, 52.2144875, 4.8191001, 52.3863713]"
1641356719417696257,1375054609987829761,@SchrijfToscane Ik heb meerdere bedrijven en kan dozen vullen met hun post.. terwijl het tegenwoordig allemaal digitaal kan met de berichten boxen .. #papierverspilling,1641189996911632403,1146517916,"[10.6365344, 43.8215315, 10.7056079, 43.875718]","[10.1665563, 43.9107068, 10.2752805, 44.0140519]"
1641354165723996161,243969770,@Myriam_Heyens Hoe is het ontbijt geweest. Dan weet ik waar wij de volgende keer logeren.,1641315007299309573,219069852,"[3.9418364, 51.8421131, 4.6013785, 52.0068016]","[5.0857107, 52.3846363, 5.6059368, 52.6916409]"
1641350786109014016,314716624,@Stel_tm Mijn vader zei altijd op dit soort dagen:  ik wou dat ik twee hondjes was dan konden we samen spelen 🤣,1641349930550697985,755235950,"[6.6406954, 53.1681749, 6.9123848, 53.2980396]","[3.9418364, 51.8421131, 4.6013785, 52.0068016]"
1641345805649862660,906012654631657473,@bjvdree1 @FritstenHove Dat denk ik ook wel.,1640309155650060288,3238466451,"[4.4832733, 51.6939726, 4.6266562, 51.7874294]","[5.857068, 51.8541586, 6.0460707, 51.9603034]"
1641332796944789506,1338811982,@hansvanholland @WaterboysMusic @MickPuck Voor haar 16e verjaardag nam ik haar mee naar een Waterboys-concert. Sindsdien is het een gedeelde liefde. Long Strange Golden Road thuis hard aanzetten op repeat helpt wellicht 😉 https://t.co/YVu7RYbCY3,1641035512696668162,154442933,"[4.7084296, 52.5920255, 4.8006894, 52.682589]","[5.5466377, 51.990908, 5.9513886, 52.1522634]"
1641328187991814145,45577000,"@spoorkeerl Ah, die mag ik ook een keer lenen, hebben ze me beloofd @AutoEnService. Mooi bakkie!",1641019602980294657,42921898,"[6.7019575, 52.1910703, 6.8527455, 52.3135876]","[6.7559955, 52.1611799, 6.981174, 52.2855112]"
1641316997806931970,847378001289281536,@APbyPL @sofinetiger @MarcMabelis @SchipholWatch En zo kun je elk onderwerp verdraaien. Ik woon naast de Kaagbaan. Klaag niet over het standaard geluid van elke dag. Hoeveel uur per dag hoor jij bladblazers?,1641023466458566661,498645303,"[4.5505577, 52.2144875, 4.8191001, 52.3863713]","[4.7288999, 52.2782266, 5.0792072, 52.4312289]"
1641316965833662466,103005550,"@connie_brouwer @KrischanHagedoo Eens, het is erg complex! \nEr staan meer spannende zaken in regionale stukken weer gebaseerd op andere regionale stukken van jaren terug. Eenduidige info is helaas niet altijd mogelijk. Edwin sprak ik telefonisch en hij was blij met de uitleg.",1641192268462796800,2880192231,"[5.0949925, 52.085001, 5.2305988, 52.2042076]","[5.0949925, 52.085001, 5.2305988, 52.2042076]"
1641312690948947970,38998404,@Myriam_Heyens @elsjonker Ik heb nooit kalfsniertjes gegeten. We aten vroeger altijd varkensniertjes. Zal toch eens een keer moeten proberen!,1641142613897097218,219069852,"[5.5122792, 52.3641441, 5.8644966, 52.6629813]","[5.0857107, 52.3846363, 5.6059368, 52.6916409]"
1641312240669212672,219069852,@AnnekeHogenes @elsjonker Ik bestel ze bij de Turkse slager. Die weet waar hij adm kalfsniertjes kan komen.,1641142613897097218,38998404,"[4.2180843, 51.1434643, 4.4982962, 51.3776487]","[5.5122792, 52.3641441, 5.8644966, 52.6629813]"
1641310635433525249,154442933,@HansKoppies @WaterboysMusic @MickPuck 100% met je eens. Ik ga zondag in Nijmegenaren...alleen ik krijg mijn dochter niet mee.,1641035512696668162,1338811982,"[5.5466377, 51.990908, 5.9513886, 52.1522634]","[4.7084296, 52.5920255, 4.8006894, 52.682589]"
1641305704068784128,906012654631657473,@bjvdree1 @FritstenHove Van dat laatste ben ik bij de huidige politiek helaas geheel niet zeker (meer).,1640309155650060288,3238466451,"[4.4832733, 51.6939726, 4.6266562, 51.7874294]","[5.857068, 51.8541586, 6.0460707, 51.9603034]"
1641305006379790336,239401985,@Vincentgdevlugt @greenchef De enige die ik lekker vind. Ben geen fan van die al die grote burgers. Alleen al niet omdat je ze niet kunt eten zonder van oor tot oor onder de saus te zitten.,1641134850689097731,40002915,"[6.3052488, 52.9855531, 6.5400155, 53.2038235]","[4.4391012, 52.1188805, 4.5242856, 52.1846062]"
1641179027778990082,847378001289281536,@APbyPL @sofinetiger @MarcMabelis @SchipholWatch Ik weet niet of je er elke dag mee wakker wordt en er mee gaat slapen. Ons verveelt het inmiddels wel.,1641023466458566661,498645303,"[4.5505577, 52.2144875, 4.8191001, 52.3863713]","[4.7288999, 52.2782266, 5.0792072, 52.4312289]"
1641178783880232962,17998533,@mamiracoli @robbekurt Tot 10/02. Maar ik heb vorig jaar mijn meterstanden niet doorgegeven 😬 Dus het kan kloppen.,1641166004544761859,6544062,"[3.4135449, 50.9473055, 3.6108612, 51.0303187]","[3.5797639, 50.9795312, 3.8493597, 51.1879607]"
1641177959280287744,131115987,@hakenhaai Het is wat we afgesproken hebben en wat voor inkomsten voor de overheid zorgt. Ik weet wel andere belastingen/heffingen waar we over kunnen discussiëren.,1641144751066955776,16996743,"[5.3531134, 51.730886, 5.7111697, 51.8307739]","[5.3531134, 51.730886, 5.7111697, 51.8307739]"
1641176416397193216,17998533,"@mamiracoli @robbekurt Vast contract was van januari 2020, toen ik alleen ging wonen. En nu 2 maanden variabel.",1641166004544761859,6544062,"[3.4135449, 50.9473055, 3.6108612, 51.0303187]","[3.5797639, 50.9795312, 3.8493597, 51.1879607]"
